1.0 156350.0 05/01/2015 "SOCIETATEA COMPLEXUL ENERGETIC HUNEDOARA S.A." RO30855230 Hunedoara Servicii DA Negociere "Pretul cel mai scazut" 61112.0 EUR Offline NU NU 50532300-6 "Servicii de reparare si de intretinere a generatoarelor (Rev.2)"
2.0 156370.0 05/01/2015 "MULTI-TRANS SA" RO555397 Covasna Furnizare DA "Licitatie deschisa" "Pretul cel mai scazut" 1150000.0 RON Offline NU NU 09134220-5 "Motorina (EN 590) (Rev.2)"
3.0 156374.0 05/01/2015 "INSTITUTUL NATIONAL DE CERCETARE-DEZVOLTARE PENTRU PROTECTIA MEDIULUI" 27282590.0 Bucuresti Furnizare NU "Licitatie deschisa" "Pretul cel mai scazut" 410000.0 RON Offline NU DA 38433000-9 "Spectrometre (Rev.2)"
4.0 156382.0 05/01/2015 "Compania Nationala de Cai Ferate ""CFR"" - SA" "RO 11054529" Bucuresti Lucrari DA "Licitatie deschisa" "Pretul cel mai scazut" 3090385.0 RON Offline NU DA 45221000-2 "Lucrari de constructii de poduri si tuneluri, puturi si pasaje subterane (Rev.2)"
5.0 156383.0 05/01/2015 "Directia Generala de Asistenta Sociala si Protectia Copilului Sector 2" 17093691.0 Bucuresti Furnizare NU "Licitatie deschisa" "Pretul cel mai scazut" 380859.99 RON Offline NU NU 15411200-4 "Ulei pentru gatit (Rev.2)"
6.0 156386.0 05/01/2015 "MUNICIPIUL BRAILA" 4205670.0 Braila Lucrari NU Negociere "Pretul cel mai scazut" 4646408.16 RON Offline NU DA 45212314-0 "Lucrari de constructii de monumente istorice sau memoriale (Rev.2)"
7.0 156384.0 06/01/2015 "Serviciul de Ambulanta Judetean Bihor" 7551740.0 Bihor Furnizare NU "Licitatie deschisa" "Oferta cea mai avantajoasa d.p.d.v. economic" 9600000.0 RON Offline DA NU 34300000-0 "Piese si accesorii pentru vehicule si pentru motoare de vehicule (Rev.2)"
8.0 156391.0 06/01/2015 "JUDETUL MARAMURES (CONSILIUL JUDETEAN MARAMURES)" 3627315.0 Maramures Furnizare NU "Licitatie deschisa" "Oferta cea mai avantajoasa d.p.d.v. economic" 6295480.03 RON Offline DA DA 43211000-5 "Buldozere (Rev.2)"
9.0 156371.0 06/01/2015 "UNIVERSITATEA TEHNICA GHEORGHE ASACHI DIN IASI" 4701606.0 Iasi Furnizare NU "Licitatie deschisa" "Pretul cel mai scazut" 3150860.0 RON Offline DA DA 38425000-0 "Echipament pentru mecanica fluidelor (Rev.2)"
10.0 156397.0 06/01/2015 "JUDETUL VASLUI" 3394171.0 Vaslui Lucrari NU "Licitatie deschisa" "Pretul cel mai scazut" 7469841.76 RON Offline DA DA 45232150-8 "Lucrari pentru conducte de alimentare cu apa (Rev.2)"
11.0 156352.0 06/01/2015 "SPITALUL CLINIC JUDETEAN DE URGENTA SF.SPIRIDON IASI" 4701312.0 Iasi Furnizare NU "Licitatie deschisa" "Pretul cel mai scazut" 908292.0 RON Offline DA NU 33141110-4 "Pansamente (Rev.2)"
12.0 156388.0 06/01/2015 "UNIVERSITATEA CRAIOVA" 4553380.0 Dolj Furnizare NU "Licitatie deschisa" "Pretul cel mai scazut" 719354.0 RON Offline DA DA 38432000-2 "Aparate de analiza (Rev.2)"
13.0 156389.0 06/01/2015 "UNIVERSITATEA CRAIOVA" 4553380.0 Dolj Furnizare NU "Licitatie deschisa" "Pretul cel mai scazut" 1362912.0 RON Offline DA DA 31710000-6 "Echipament electronic (Rev.2)"
14.0 156364.0 06/01/2015 "ASOCIATIA DE DEZVOLTARE INTERCOMUNITARA ,,SITUATII DE URGENTA SUD MUNTENIA""" 26187310.0 Teleorman Furnizare NU "Licitatie deschisa" "Pretul cel mai scazut" 5099790.0 RON Offline DA DA 34144000-8 "Autovehicule cu utilizare speciala (Rev.2)"
